modeldate,state,Trump,Biden
9/13/20,Colorado,0.13975,0.86025
9/13/20,California,0.0028,0.9972
9/13/20,Arkansas,0.936325,0.063675
9/13/20,Arizona,0.340975,0.659025
9/13/20,Alaska,0.8,0.2
9/13/20,Alabama,0.979,0.021
9/12/20,Wyoming,0.997775,0.002225
9/12/20,Wisconsin,0.230525,0.769475
9/12/20,West Virginia,0.992575,0.007425
9/12/20,Washington,0.011575,0.988425
9/12/20,Virginia,0.0507,0.9493
9/12/20,Vermont,0.0084,0.9916
9/12/20,Utah,0.9519,0.0481
9/12/20,Texas,0.68265,0.31735
9/12/20,Tennessee,0.953375,0.046625
9/12/20,South Dakota,0.965025,0.034975
9/12/20,South Carolina,0.8689,0.1311
9/12/20,Rhode Island,0.011725,0.988275
9/12/20,Pennsylvania,0.256775,0.743225
9/12/20,Oregon,0.086775,0.913225
9/12/20,Oklahoma,0.9931,0.0069
9/12/20,Ohio,0.548875,0.451125
9/12/20,North Dakota,0.988725,0.011275
9/12/20,North Carolina,0.463625,0.536375
9/12/20,New York,0.00155,0.99845
9/12/20,New Mexico,0.063325,0.936675
9/12/20,New Jersey,0.03155,0.96845
9/12/20,New Hampshire,0.278225,0.721775
9/12/20,Nevada,0.201525,0.798475
9/12/20,Nebraska,0.98555,0.01445
9/12/20,NE-3,0.999625,0.000375
9/12/20,NE-2,0.3858,0.6142
9/12/20,NE-1,0.937375,0.062625
9/12/20,Montana,0.86785,0.13215
9/12/20,Missouri,0.891625,0.108375
9/12/20,Mississippi,0.870825,0.129175
9/12/20,Minnesota,0.181625,0.818375
9/12/20,Michigan,0.142675,0.857325
9/12/20,Massachusetts,0.002425,0.997575
9/12/20,Maryland,0.001925,0.998075
9/12/20,Maine,0.181275,0.818725
9/12/20,ME-2,0.576575,0.423425
9/12/20,ME-1,0.044025,0.955975
9/12/20,Louisiana,0.919725,0.080275
9/12/20,Kentucky,0.976575,0.023425
9/12/20,Kansas,0.925025,0.074975
9/12/20,Iowa,0.6696,0.3304
9/12/20,Indiana,0.9527,0.0473
9/12/20,Illinois,0.004225,0.995775
9/12/20,Idaho,0.995125,0.004875
9/12/20,Hawaii,0.01325,0.98675
9/12/20,Georgia,0.66175,0.33825
9/12/20,Florida,0.396025,0.603975
9/12/20,District of Columbia,0,1
9/12/20,Delaware,0.0021,0.9979
9/12/20,Connecticut,0.01485,0.98515
9/12/20,Colorado,0.138275,0.861725
9/12/20,California,0.0035,0.9965
9/12/20,Arkansas,0.935075,0.064925
9/12/20,Arizona,0.34415,0.65585
9/12/20,Alaska,0.79805,0.20195
9/12/20,Alabama,0.978775,0.021225
9/11/20,Wyoming,0.997925,0.002075
9/11/20,Wisconsin,0.21615,0.78385
9/11/20,West Virginia,0.9933,0.0067
9/11/20,Washington,0.01005,0.98995
9/11/20,Virginia,0.04755,0.95245
9/11/20,Vermont,0.007375,0.992625
9/11/20,Utah,0.9505,0.0495
9/11/20,Texas,0.680675,0.319325
9/11/20,Tennessee,0.952275,0.047725
9/11/20,South Dakota,0.965525,0.034475
9/11/20,South Carolina,0.8666,0.1334
9/11/20,Rhode Island,0.0106,0.9894
9/11/20,Pennsylvania,0.250475,0.749525
9/11/20,Oregon,0.0852,0.9148
9/11/20,Oklahoma,0.9928,0.0072
9/11/20,Ohio,0.54575,0.45425
9/11/20,North Dakota,0.98935,0.01065
9/11/20,North Carolina,0.458475,0.541525
9/11/20,New York,0.0013,0.9987
9/11/20,New Mexico,0.061425,0.938575
9/11/20,New Jersey,0.02775,0.97225
9/11/20,New Hampshire,0.2498,0.7502
9/11/20,Nevada,0.186375,0.813625
9/11/20,Nebraska,0.985575,0.014425
9/11/20,NE-3,0.999575,0.000425
9/11/20,NE-2,0.38425,0.61575
9/11/20,NE-1,0.933875,0.066125
9/11/20,Montana,0.870075,0.129925
9/11/20,Missouri,0.88975,0.11025
9/11/20,Mississippi,0.869425,0.130575
9/11/20,Minnesota,0.20575,0.79425
9/11/20,Michigan,0.137175,0.862825
9/11/20,Massachusetts,0.001625,0.998375
9/11/20,Maryland,0.001875,0.998125
9/11/20,Maine,0.176875,0.823125
9/11/20,ME-2,0.5781,0.4219
9/11/20,ME-1,0.04295,0.95705
9/11/20,Louisiana,0.918325,0.081675
9/11/20,Kentucky,0.97645,0.02355
9/11/20,Kansas,0.922925,0.077075
9/11/20,Iowa,0.665425,0.334575
9/11/20,Indiana,0.9527,0.0473
9/11/20,Illinois,0.00365,0.99635
9/11/20,Idaho,0.99515,0.00485
9/11/20,Hawaii,0.011675,0.988325
9/11/20,Georgia,0.657775,0.342225
9/11/20,Florida,0.38565,0.61435
9/11/20,District of Columbia,0,1
9/11/20,Delaware,0.00215,0.99785
9/11/20,Connecticut,0.0128,0.9872
9/11/20,Colorado,0.13885,0.86115
9/11/20,California,0.002875,0.997125
9/11/20,Arkansas,0.933375,0.066625
9/11/20,Arizona,0.32785,0.67215
9/11/20,Alaska,0.7983,0.2017
9/11/20,Alabama,0.97875,0.02125
9/10/20,Wyoming,0.998275,0.001725
9/10/20,Wisconsin,0.222525,0.777475
9/10/20,West Virginia,0.993,0.007
9/10/20,Washington,0.01115,0.98885
9/10/20,Virginia,0.053025,0.946975
9/10/20,Vermont,0.0079,0.9921
9/10/20,Utah,0.95255,0.04745
9/10/20,Texas,0.6899,0.3101
9/10/20,Tennessee,0.95535,0.04465
9/10/20,South Dakota,0.96595,0.03405
9/10/20,South Carolina,0.8709,0.1291
9/10/20,Rhode Island,0.012075,0.987925
9/10/20,Pennsylvania,0.259275,0.740725
9/10/20,Oregon,0.07485,0.92515
9/10/20,Oklahoma,0.99285,0.00715
9/10/20,Ohio,0.55655,0.44345
9/10/20,North Dakota,0.98885,0.01115
9/10/20,North Carolina,0.4585,0.5415
9/10/20,New York,0.0017,0.9983
9/10/20,New Mexico,0.064625,0.935375
9/10/20,New Jersey,0.0322,0.9678
9/10/20,New Hampshire,0.256175,0.743825
9/10/20,Nevada,0.194575,0.805425
9/10/20,Nebraska,0.985425,0.014575
9/10/20,NE-3,0.99965,0.00035
9/10/20,NE-2,0.389125,0.610875
9/10/20,NE-1,0.93715,0.06285
9/10/20,Montana,0.87265,0.12735
9/10/20,Missouri,0.895225,0.104775
9/10/20,Mississippi,0.87515,0.12485
9/10/20,Minnesota,0.210375,0.789625
9/10/20,Michigan,0.145125,0.854875
9/10/20,Massachusetts,0.002325,0.997675
9/10/20,Maryland,0.002125,0.997875
9/10/20,Maine,0.179475,0.820525
9/10/20,ME-2,0.584,0.416
9/10/20,ME-1,0.044525,0.955475
9/10/20,Louisiana,0.9231,0.0769
9/10/20,Kentucky,0.975175,0.024825
9/10/20,Kansas,0.926525,0.073475
9/10/20,Iowa,0.67425,0.32575
9/10/20,Indiana,0.95465,0.04535
9/10/20,Illinois,0.00415,0.99585
9/10/20,Idaho,0.9952,0.0048
9/10/20,Hawaii,0.0122,0.9878
9/10/20,Georgia,0.666975,0.333025
9/10/20,Florida,0.3975,0.6025
9/10/20,District of Columbia,0,1
9/10/20,Delaware,0.00275,0.99725
9/10/20,Connecticut,0.014575,0.985425
9/10/20,Colorado,0.14185,0.85815
9/10/20,California,0.003525,0.996475
9/10/20,Arkansas,0.9344,0.0656
9/10/20,Arizona,0.340225,0.659775
9/10/20,Alaska,0.802175,0.197825
9/10/20,Alabama,0.978925,0.021075
9/9/20,Wyoming,0.998325,0.001675
9/9/20,Wisconsin,0.2274,0.7726
9/9/20,West Virginia,0.99285,0.00715
9/9/20,Washington,0.011825,0.988175
9/9/20,Virginia,0.056575,0.943425
9/9/20,Vermont,0.0071,0.9929
9/9/20,Utah,0.9524,0.0476
9/9/20,Texas,0.689175,0.310825
9/9/20,Tennessee,0.95315,0.04685
9/9/20,South Dakota,0.964575,0.035425
9/9/20,South Carolina,0.872075,0.127925
9/9/20,Rhode Island,0.0127,0.9873
9/9/20,Pennsylvania,0.26415,0.73585
9/9/20,Oregon,0.079325,0.920675
9/9/20,Oklahoma,0.99275,0.00725
9/9/20,Ohio,0.558975,0.441025
9/9/20,North Dakota,0.988675,0.011325
9/9/20,North Carolina,0.456475,0.543525
9/9/20,New York,0.001575,0.998425
9/9/20,New Mexico,0.068375,0.931625
9/9/20,New Jersey,0.033075,0.966925
9/9/20,New Hampshire,0.262,0.738
9/9/20,Nevada,0.20055,0.79945
9/9/20,Nebraska,0.985725,0.014275
9/9/20,NE-3,0.99975,0.00025
9/9/20,NE-2,0.394175,0.605825
9/9/20,NE-1,0.934775,0.065225
9/9/20,Montana,0.87885,0.12115
9/9/20,Missouri,0.893825,0.106175
9/9/20,Mississippi,0.873575,0.126425
9/9/20,Minnesota,0.216325,0.783675
9/9/20,Michigan,0.15035,0.84965
9/9/20,Massachusetts,0.002275,0.997725
9/9/20,Maryland,0.0018,0.9982
9/9/20,Maine,0.208125,0.791875
9/9/20,ME-2,0.63625,0.36375
9/9/20,ME-1,0.046675,0.953325
9/9/20,Louisiana,0.9219,0.0781
9/9/20,Kentucky,0.975725,0.024275
9/9/20,Kansas,0.9259,0.0741
9/9/20,Iowa,0.66915,0.33085
9/9/20,Indiana,0.951825,0.048175
9/9/20,Illinois,0.00485,0.99515
9/9/20,Idaho,0.9953,0.0047
9/9/20,Hawaii,0.011875,0.988125
9/9/20,Georgia,0.677425,0.322575
9/9/20,Florida,0.396825,0.603175
9/9/20,District of Columbia,0,1
9/9/20,Delaware,0.0023,0.9977
9/9/20,Connecticut,0.0161,0.9839
9/9/20,Colorado,0.140425,0.859575
9/9/20,California,0.00325,0.99675
9/9/20,Arkansas,0.93355,0.06645
9/9/20,Arizona,0.3551,0.6449
9/9/20,Alaska,0.79955,0.20045
9/9/20,Alabama,0.978325,0.021675
9/8/20,Wyoming,0.998525,0.001475
9/8/20,Wisconsin,0.22565,0.77435
9/8/20,West Virginia,0.992675,0.007325
9/8/20,Washington,0.012175,0.987825
9/8/20,Virginia,0.05945,0.94055
9/8/20,Vermont,0.00855,0.99145
9/8/20,Utah,0.952925,0.047075
9/8/20,Texas,0.7228,0.2772
9/8/20,Tennessee,0.95615,0.04385
9/8/20,South Dakota,0.967875,0.032125
9/8/20,South Carolina,0.878875,0.121125
9/8/20,Rhode Island,0.013525,0.986475
9/8/20,Pennsylvania,0.308725,0.691275
9/8/20,Oregon,0.08655,0.91345
9/8/20,Oklahoma,0.9925,0.0075
9/8/20,Ohio,0.569675,0.430325
9/8/20,North Dakota,0.989325,0.010675
9/8/20,North Carolina,0.478275,0.521725
9/8/20,New York,0.0015,0.9985
9/8/20,New Mexico,0.07285,0.92715
9/8/20,New Jersey,0.03505,0.96495
9/8/20,New Hampshire,0.270475,0.729525
9/8/20,Nevada,0.2115,0.7885
9/8/20,Nebraska,0.9861,0.0139
9/8/20,NE-3,0.99965,0.00035
9/8/20,NE-2,0.408375,0.591625
9/8/20,NE-1,0.9378,0.0622
9/8/20,Montana,0.88155,0.11845
9/8/20,Missouri,0.897125,0.102875
9/8/20,Mississippi,0.87585,0.12415
9/8/20,Minnesota,0.227875,0.772125
9/8/20,Michigan,0.173975,0.826025
9/8/20,Massachusetts,0.002375,0.997625
9/8/20,Maryland,0.001675,0.998325
9/8/20,Maine,0.216575,0.783425
9/8/20,ME-2,0.647425,0.352575
9/8/20,ME-1,0.051375,0.948625
9/8/20,Louisiana,0.923525,0.076475
9/8/20,Kentucky,0.976875,0.023125
9/8/20,Kansas,0.928225,0.071775
9/8/20,Iowa,0.679575,0.320425
9/8/20,Indiana,0.9548,0.0452
9/8/20,Illinois,0.004975,0.995025
9/8/20,Idaho,0.994675,0.005325
9/8/20,Hawaii,0.013375,0.986625
9/8/20,Georgia,0.68425,0.31575
9/8/20,Florida,0.4502,0.5498
9/8/20,District of Columbia,0,1
9/8/20,Delaware,0.002325,0.997675
9/8/20,Connecticut,0.016675,0.983325
9/8/20,Colorado,0.14145,0.85855
9/8/20,California,0.00335,0.99665
9/8/20,Arkansas,0.936875,0.063125
9/8/20,Arizona,0.3879,0.6121
9/8/20,Alaska,0.806625,0.193375
9/8/20,Alabama,0.979575,0.020425
9/7/20,Wyoming,0.998225,0.001775
9/7/20,Wisconsin,0.2351,0.7649
9/7/20,West Virginia,0.992975,0.007025
9/7/20,Washington,0.011225,0.988775
9/7/20,Virginia,0.062775,0.937225
9/7/20,Vermont,0.0087,0.9913
9/7/20,Utah,0.952325,0.047675
9/7/20,Texas,0.717075,0.282925
9/7/20,Tennessee,0.956525,0.043475
9/7/20,South Dakota,0.967225,0.032775
9/7/20,South Carolina,0.8783,0.1217
9/7/20,Rhode Island,0.013475,0.986525
9/7/20,Pennsylvania,0.301325,0.698675
9/7/20,Oregon,0.0829,0.9171
9/7/20,Oklahoma,0.992425,0.007575
9/7/20,Ohio,0.612125,0.387875
9/7/20,North Dakota,0.98865,0.01135
9/7/20,North Carolina,0.4781,0.5219
9/7/20,New York,0.0018,0.9982
9/7/20,New Mexico,0.0733,0.9267
9/7/20,New Jersey,0.0363,0.9637
9/7/20,New Hampshire,0.278725,0.721275
9/7/20,Nevada,0.21615,0.78385
9/7/20,Nebraska,0.985275,0.014725
9/7/20,NE-3,0.99955,0.00045
9/7/20,NE-2,0.4163,0.5837
9/7/20,NE-1,0.937725,0.062275
9/7/20,Montana,0.8837,0.1163
9/7/20,Missouri,0.90325,0.09675
9/7/20,Mississippi,0.8767,0.1233
9/7/20,Minnesota,0.233225,0.766775
9/7/20,Michigan,0.17505,0.82495
9/7/20,Massachusetts,0.002825,0.997175
9/7/20,Maryland,0.0023,0.9977
9/7/20,Maine,0.2205,0.7795
9/7/20,ME-2,0.642125,0.357875
9/7/20,ME-1,0.054775,0.945225
9/7/20,Louisiana,0.9231,0.0769
9/7/20,Kentucky,0.9766,0.0234
9/7/20,Kansas,0.930025,0.069975
9/7/20,Iowa,0.6861,0.3139
9/7/20,Indiana,0.9557,0.0443
9/7/20,Illinois,0.004825,0.995175
9/7/20,Idaho,0.994375,0.005625
9/7/20,Hawaii,0.013925,0.986075
9/7/20,Georgia,0.6863,0.3137
9/7/20,Florida,0.42595,0.57405
9/7/20,District of Columbia,0,1
9/7/20,Delaware,0.00235,0.99765
9/7/20,Connecticut,0.017075,0.982925
9/7/20,Colorado,0.14195,0.85805
9/7/20,California,0.00315,0.99685
9/7/20,Arkansas,0.9369,0.0631
9/7/20,Arizona,0.397975,0.602025
9/7/20,Alaska,0.8071,0.1929
9/7/20,Alabama,0.9796,0.0204
9/6/20,Wyoming,0.99795,0.00205
9/6/20,Wisconsin,0.254375,0.745625
9/6/20,West Virginia,0.99255,0.00745
9/6/20,Washington,0.01215,0.98785
9/6/20,Virginia,0.062925,0.937075
9/6/20,Vermont,0.008325,0.991675
9/6/20,Utah,0.95175,0.04825
9/6/20,Texas,0.711825,0.288175
9/6/20,Tennessee,0.955325,0.044675
9/6/20,South Dakota,0.96595,0.03405
9/6/20,South Carolina,0.877075,0.122925
9/6/20,Rhode Island,0.0143,0.9857
9/6/20,Pennsylvania,0.3051,0.6949
9/6/20,Oregon,0.082025,0.917975
9/6/20,Oklahoma,0.99225,0.00775
9/6/20,Ohio,0.609275,0.390725
9/6/20,North Dakota,0.988225,0.011775
9/6/20,North Carolina,0.47965,0.52035
9/6/20,New York,0.00195,0.99805
9/6/20,New Mexico,0.073425,0.926575
9/6/20,New Jersey,0.0352,0.9648
9/6/20,New Hampshire,0.282025,0.717975
9/6/20,Nevada,0.217325,0.782675
9/6/20,Nebraska,0.984725,0.015275
9/6/20,NE-3,0.999725,0.000275
9/6/20,NE-2,0.41115,0.58885
9/6/20,NE-1,0.93655,0.06345
9/6/20,Montana,0.883425,0.116575
9/6/20,Missouri,0.89925,0.10075
9/6/20,Mississippi,0.876625,0.123375
9/6/20,Minnesota,0.233425,0.766575
9/6/20,Michigan,0.1773,0.8227
9/6/20,Massachusetts,0.00255,0.99745
9/6/20,Maryland,0.001875,0.998125
9/6/20,Maine,0.220475,0.779525
9/6/20,ME-2,0.6448,0.3552
9/6/20,ME-1,0.0549,0.9451
9/6/20,Louisiana,0.92305,0.07695
9/6/20,Kentucky,0.9763,0.0237
9/6/20,Kansas,0.928425,0.071575
9/6/20,Iowa,0.6905,0.3095
9/6/20,Indiana,0.9523,0.0477
9/6/20,Illinois,0.005575,0.994425
9/6/20,Idaho,0.99365,0.00635
9/6/20,Hawaii,0.013075,0.986925
9/6/20,Georgia,0.685225,0.314775
9/6/20,Florida,0.426375,0.573625
9/6/20,District of Columbia,0,1
9/6/20,Delaware,0.003325,0.996675
9/6/20,Connecticut,0.018425,0.981575
9/6/20,Colorado,0.1405,0.8595
9/6/20,California,0.0028,0.9972
9/6/20,Arkansas,0.9358,0.0642
9/6/20,Arizona,0.3955,0.6045
9/6/20,Alaska,0.806825,0.193175
9/6/20,Alabama,0.978775,0.021225
9/5/20,Wyoming,0.998075,0.001925
9/5/20,Wisconsin,0.259425,0.740575
9/5/20,West Virginia,0.993175,0.006825
9/5/20,Washington,0.012375,0.987625
9/5/20,Virginia,0.06585,0.93415
9/5/20,Vermont,0.008725,0.991275
9/5/20,Utah,0.95375,0.04625
9/5/20,Texas,0.71865,0.28135
9/5/20,Tennessee,0.955725,0.044275
9/5/20,South Dakota,0.96635,0.03365
9/5/20,South Carolina,0.881975,0.118025
9/5/20,Rhode Island,0.01485,0.98515
9/5/20,Pennsylvania,0.308125,0.691875
9/5/20,Oregon,0.087025,0.912975
9/5/20,Oklahoma,0.99245,0.00755
9/5/20,Ohio,0.610775,0.389225
9/5/20,North Dakota,0.988,0.012
9/5/20,North Carolina,0.484325,0.515675
9/5/20,New York,0.001875,0.998125
9/5/20,New Mexico,0.0844,0.9156
9/5/20,New Jersey,0.03545,0.96455
9/5/20,New Hampshire,0.286075,0.713925
9/5/20,Nevada,0.22025,0.77975
9/5/20,Nebraska,0.985075,0.014925
9/5/20,NE-3,0.999675,0.000325
9/5/20,NE-2,0.412525,0.587475
9/5/20,NE-1,0.93895,0.06105
9/5/20,Montana,0.88525,0.11475
9/5/20,Missouri,0.900875,0.099125
9/5/20,Mississippi,0.87995,0.12005
9/5/20,Minnesota,0.237125,0.762875
9/5/20,Michigan,0.179,0.821
9/5/20,Massachusetts,0.002525,0.997475
9/5/20,Maryland,0.002075,0.997925
9/5/20,Maine,0.224825,0.775175
9/5/20,ME-2,0.646675,0.353325
9/5/20,ME-1,0.05545,0.94455
9/5/20,Louisiana,0.92805,0.07195
9/5/20,Kentucky,0.977375,0.022625
9/5/20,Kansas,0.930225,0.069775
9/5/20,Iowa,0.6922,0.3078
9/5/20,Indiana,0.9541,0.0459
9/5/20,Illinois,0.00585,0.99415
9/5/20,Idaho,0.994825,0.005175
9/5/20,Hawaii,0.01375,0.98625
9/5/20,Georgia,0.688475,0.311525
9/5/20,Florida,0.427125,0.572875
9/5/20,District of Columbia,0,1
9/5/20,Delaware,0.003575,0.996425
9/5/20,Connecticut,0.019325,0.980675
9/5/20,Colorado,0.145125,0.854875
9/5/20,California,0.003025,0.996975
9/5/20,Arkansas,0.93905,0.06095
9/5/20,Arizona,0.40335,0.59665
9/5/20,Alaska,0.813325,0.186675
9/5/20,Alabama,0.9793,0.0207
9/4/20,Wyoming,0.99805,0.00195
9/4/20,Wisconsin,0.2511,0.7489
9/4/20,West Virginia,0.992375,0.007625
9/4/20,Washington,0.01215,0.98785
9/4/20,Virginia,0.06345,0.93655
9/4/20,Vermont,0.008525,0.991475
9/4/20,Utah,0.95615,0.04385
9/4/20,Texas,0.714625,0.285375
9/4/20,Tennessee,0.9562,0.0438
9/4/20,South Dakota,0.96605,0.03395
9/4/20,South Carolina,0.8783,0.1217
9/4/20,Rhode Island,0.014975,0.985025
9/4/20,Pennsylvania,0.30185,0.69815
9/4/20,Oregon,0.083975,0.916025
9/4/20,Oklahoma,0.992825,0.007175
9/4/20,Ohio,0.606775,0.393225
9/4/20,North Dakota,0.98805,0.01195
9/4/20,North Carolina,0.4806,0.5194
9/4/20,New York,0.002025,0.997975
9/4/20,New Mexico,0.08355,0.91645
9/4/20,New Jersey,0.039175,0.960825
9/4/20,New Hampshire,0.282525,0.717475
9/4/20,Nevada,0.2176,0.7824
9/4/20,Nebraska,0.985375,0.014625
9/4/20,NE-3,0.9995,0.0005
9/4/20,NE-2,0.41315,0.58685
9/4/20,NE-1,0.9385,0.0615
9/4/20,Montana,0.883075,0.116925
9/4/20,Missouri,0.901525,0.098475
9/4/20,Mississippi,0.87585,0.12415
9/4/20,Minnesota,0.2376,0.7624
9/4/20,Michigan,0.1766,0.8234
9/4/20,Massachusetts,0.002875,0.997125
9/4/20,Maryland,0.002475,0.997525
9/4/20,Maine,0.222075,0.777925
9/4/20,ME-2,0.6426,0.3574
9/4/20,ME-1,0.055225,0.944775
9/4/20,Louisiana,0.9252,0.0748
9/4/20,Kentucky,0.97515,0.02485
9/4/20,Kansas,0.92915,0.07085
9/4/20,Iowa,0.687125,0.312875
9/4/20,Indiana,0.952875,0.047125
9/4/20,Illinois,0.005475,0.994525
9/4/20,Idaho,0.9943,0.0057
9/4/20,Hawaii,0.014125,0.985875
9/4/20,Georgia,0.68425,0.31575
9/4/20,Florida,0.421375,0.578625
9/4/20,District of Columbia,0,1
9/4/20,Delaware,0.003125,0.996875
9/4/20,Connecticut,0.01955,0.98045
9/4/20,Colorado,0.1419,0.8581
9/4/20,California,0.002925,0.997075
9/4/20,Arkansas,0.93765,0.06235
9/4/20,Arizona,0.4023,0.5977
9/4/20,Alaska,0.8103,0.1897
9/4/20,Alabama,0.98025,0.01975
9/3/20,Wyoming,0.998125,0.001875
9/3/20,Wisconsin,0.26045,0.73955
9/3/20,West Virginia,0.99325,0.00675
9/3/20,Washington,0.012325,0.987675
9/3/20,Virginia,0.066425,0.933575
9/3/20,Vermont,0.00835,0.99165
9/3/20,Utah,0.9548,0.0452
9/3/20,Texas,0.74215,0.25785
9/3/20,Tennessee,0.956225,0.043775
9/3/20,South Dakota,0.96625,0.03375
9/3/20,South Carolina,0.87605,0.12395
9/3/20,Rhode Island,0.014725,0.985275
9/3/20,Pennsylvania,0.316125,0.683875
9/3/20,Oregon,0.0853,0.9147
9/3/20,Oklahoma,0.99345,0.00655
9/3/20,Ohio,0.61075,0.38925
9/3/20,North Dakota,0.988475,0.011525
9/3/20,North Carolina,0.48755,0.51245
9/3/20,New York,0.001775,0.998225
9/3/20,New Mexico,0.08775,0.91225
9/3/20,New Jersey,0.0377,0.9623
9/3/20,New Hampshire,0.287775,0.712225
9/3/20,Nevada,0.223775,0.776225
9/3/20,Nebraska,0.98595,0.01405
9/3/20,NE-3,0.999575,0.000425
9/3/20,NE-2,0.421825,0.578175
9/3/20,NE-1,0.9393,0.0607
9/3/20,Montana,0.88305,0.11695
9/3/20,Missouri,0.90085,0.09915
9/3/20,Mississippi,0.878725,0.121275
9/3/20,Minnesota,0.248475,0.751525
9/3/20,Michigan,0.182975,0.817025
9/3/20,Massachusetts,0.002625,0.997375
9/3/20,Maryland,0.002075,0.997925
9/3/20,Maine,0.2239,0.7761
9/3/20,ME-2,0.64525,0.35475
9/3/20,ME-1,0.055775,0.944225
9/3/20,Louisiana,0.92495,0.07505
9/3/20,Kentucky,0.97695,0.02305
9/3/20,Kansas,0.928025,0.071975
9/3/20,Iowa,0.691875,0.308125
9/3/20,Indiana,0.9535,0.0465
9/3/20,Illinois,0.0066,0.9934
9/3/20,Idaho,0.9948,0.0052
9/3/20,Hawaii,0.01285,0.98715
9/3/20,Georgia,0.6803,0.3197
9/3/20,Florida,0.41305,0.58695
9/3/20,District of Columbia,0,1
9/3/20,Delaware,0.002725,0.997275
9/3/20,Connecticut,0.020475,0.979525
9/3/20,Colorado,0.14685,0.85315
9/3/20,California,0.002675,0.997325
9/3/20,Arkansas,0.936925,0.063075
9/3/20,Arizona,0.4098,0.5902
9/3/20,Alaska,0.8098,0.1902
9/3/20,Alabama,0.979325,0.020675
9/2/20,Wyoming,0.998125,0.001875
9/2/20,Wisconsin,0.26445,0.73555
9/2/20,West Virginia,0.992975,0.007025
9/2/20,Washington,0.012575,0.987425
9/2/20,Virginia,0.06805,0.93195
9/2/20,Vermont,0.009125,0.990875
9/2/20,Utah,0.9525,0.0475
9/2/20,Texas,0.74705,0.25295
9/2/20,Tennessee,0.954075,0.045925
9/2/20,South Dakota,0.966025,0.033975
9/2/20,South Carolina,0.87985,0.12015
9/2/20,Rhode Island,0.015625,0.984375
9/2/20,Pennsylvania,0.308525,0.691475
9/2/20,Oregon,0.085275,0.914725
9/2/20,Oklahoma,0.992175,0.007825
9/2/20,Ohio,0.61425,0.38575
9/2/20,North Dakota,0.987625,0.012375
9/2/20,North Carolina,0.495475,0.504525
9/2/20,New York,0.002025,0.997975
9/2/20,New Mexico,0.087325,0.912675
9/2/20,New Jersey,0.0385,0.9615
9/2/20,New Hampshire,0.29015,0.70985
9/2/20,Nevada,0.227525,0.772475
9/2/20,Nebraska,0.98385,0.01615
9/2/20,NE-3,0.99955,0.00045
9/2/20,NE-2,0.4233,0.5767
9/2/20,NE-1,0.936975,0.063025
9/2/20,Montana,0.88595,0.11405
9/2/20,Missouri,0.899775,0.100225
9/2/20,Mississippi,0.879025,0.120975
9/2/20,Minnesota,0.253075,0.746925
9/2/20,Michigan,0.183825,0.816175
9/2/20,Massachusetts,0.002675,0.997325
9/2/20,Maryland,0.002225,0.997775
9/2/20,Maine,0.227,0.773
9/2/20,ME-2,0.64535,0.35465
9/2/20,ME-1,0.056425,0.943575
9/2/20,Louisiana,0.925675,0.074325
9/2/20,Kentucky,0.9751,0.0249
9/2/20,Kansas,0.9298,0.0702
9/2/20,Iowa,0.69255,0.30745
